items__track,items__episode__episodeName,items__episode__showName,items__episode__episodeUri,name,lastModifiedDate,items__track__trackName,items__track__artistName,items__track__albumName,items__track__trackUri,items__episode,items__localTrack__uri,items__localTrack,items__addedDate,description,numberOfFollowers,genero,dia_da_semana
,,,,,,Partilhar,Rubel,Partilhar,spotify:track:1PQRwFvNM7xV65bIkHmDtx,,,,2022-08-26,,,MPB,4
,,,,,,Ai que Saudade D'Ocê - Sessions,Mariana Nolasco,Mariana Nolasco Sessions 2,spotify:track:3jLkEBt841U8Nbca03XD0q,,,,2022-08-26,,,MPB,4
,,,,,,Lugar Ao Sol,Sandy,Lugar Ao Sol,spotify:track:3EY2I6zWuJjZai4G7Bcmzx,,,,2022-08-26,,,MPB,4
,,,,,,Home,Gabrielle Aplin,Home,spotify:track:3X01VeoR0GckfiXlFRrJmF,,,,2022-08-26,,,Indie Pop,4
,,,,,,Parece Pressa,Vicka,De Cabeça Pra Baixo,spotify:track:5Z1GGWmnoPdHGelvM99vgO,,,,2022-08-26,,,Indie,4
,,,,,,A Encomenda da Minha Vida,MAR ABERTO,A Encomenda da Minha Vida,spotify:track:4hYcZfeUkOw4GoV5APKMdV,,,,2022-08-26,,,Pop Rock,4
,,,,,,Sim,Nando Reis,Sim,spotify:track:1CDItzs1Ud0u9PDKdJgrio,,,,2022-08-26,,,MPB,4
,,,,,,Cabelo De Anjo,Melim,Eu Feat. Você,spotify:track:4QWsMXZ60waQmBBduGM2ci,,,,2022-08-26,,,Pop,4
,,,,,,Quando Fui Seu Par,Jaffar Bambirra,Quando Fui Seu Par,spotify:track:7zp5QUrEGqQXDAwwFsk7Ku,,,,2022-08-26,,,MPB,4
,,,,,,não há voz que alcance,Bryan Behr,Todas as coisas do coração,spotify:track:1KFe4uS0OzHyMfSacZUgEI,,,,2022-08-26,,,MPB,4
,,,,,,Casca do Ovo,Paulo Novaes,Minha Cabeça,spotify:track:7lGd2jgfzRvEDXOZ7rqGoS,,,,2022-08-26,,,MPB,4
,,,,,,Simples e Romântico,Nicolas Germano,Simples e Romântico,spotify:track:7dAbpCdKHAPNONpwGTmGzC,,,,2022-08-26,,,MPB,4
,,,,,,Certeza - Acústico,Mariana Nolasco,Certeza,spotify:track:1GK98aTl2dzvvHqpFw0euo,,,,2022-08-26,,,MPB,4
,,,,,,Pra Te Iluminar,David Mour,Pra Te Iluminar,spotify:track:0cchF6GS8r28iyHrCdsEJa,,,,2022-08-26,,,MPB,4
,,,,,,Be Here Now,Gustavo Bertoni,Be Here Now,spotify:track:04NQ1q92DRbxWq6lhpVVDQ,,,,2022-08-26,,,Indie,4
,,,,,,Era uma Vez,Kell Smith,Girassol,spotify:track:16v1xv9QCx1kGXl6fJvTIz,,,,2022-08-26,,,MPB,4
,,,,,,This Is Love,Tom Marx,This Is Love,spotify:track:4svyWPcXznHkdtWspiKJaI,,,,2022-08-26,,,Eletronica,4
,,,,,,Cafuné,Pedro Salomão,Cafuné,spotify:track:7zjKBYb0C2NxGWLBmrveQl,,,,2022-08-26,,,,4
,,,,,,Abraço,Nós em Um,Abraço,spotify:track:7y4puTp3k9X5jUxxlko0Pd,,,,2022-08-26,,,,4
,,,,,,Até Aprender,Anna Pêgo,Até Aprender,spotify:track:1xHkiApXo80f6mFx5m1j0R,,,,2022-08-26,,,,4
,,,,,,Dia de Sorte,Mariana Nolasco,UM SÓ,spotify:track:0bJ5Pa8GqcyC4PNYcHQDeN,,,,2022-08-26,,,MPB,4
,,,,,,Sign of the Times,Harry Styles,Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN,,,,2022-08-26,,,Pop,4
,,,,,,Nuvens - Acústico,Gabriel Gonti,Nuvens (Acústico),spotify:track:29gNG2pGiEK0ygQIDiWNyo,,,,2022-08-26,,,MPB,4
,,,,,,"Old Ghosts, New Skin",Gustavo Bertoni,"Old Ghosts, New Skin",spotify:track:1heAGo9N7qk85pzg7obUW8,,,,2022-08-26,,,Indie,4
,,,,,,(Tá),Estevão Queiroga,(Tá),spotify:track:1hjqF86jqqXVc9FzmoHFrK,,,,2022-08-26,,,,4
,,,,,,Nossa Dança,Flavio Ferrari,Nossa Dança,spotify:track:6OpsskOwFTW8S2j0di6bRX,,,,2022-08-26,,,MPB,4
,,,,,,Por um Triz,Luamarte,Por um Triz,spotify:track:5BtnfpdkVttGGSUUw3VjtY,,,,2022-08-26,,,MPB,4
,,,,,,Lariar,Jeferson Pillar,Lariar,spotify:track:0QR8GS6CboYwlUV2RDAY2S,,,,2022-08-26,,,MPB,4
,,,,,,Ai de Mim,OUTROEU,OutroEu,spotify:track:5df99H7yd4phkyAR9feLdf,,,,2022-08-26,,,Indie,4
,,,,,,te procuro,Nina Fernandes,amor é fuga: fuja,spotify:track:6jd296Iqly0hU02QDJKFfi,,,,2022-08-26,,,Indie Pop,4
